date,sales
2023-08-08,55
2023-08-09,56
2023-08-10,59
2023-08-11,61
2023-08-12,58
2023-08-13,53
2023-08-14,60
2023-08-15,52
2023-08-16,57
2023-08-17,65
2023-08-18,55
2023-08-19,63
2023-08-20,56
2023-08-21,54
2023-08-22,56
2023-08-23,58
2023-08-24,53
2023-08-25,65
2023-08-26,64
2023-08-27,60
2023-08-28,51
2023-08-29,58
2023-08-30,60
2023-08-31,50
2023-09-01,55
2023-09-02,54
2023-09-03,66
2023-09-04,57
2023-09-05,55
2023-09-06,54
2023-09-07,52
2023-09-08,52
2023-09-09,57
2023-09-10,43
2023-09-11,49
2023-09-12,49
2023-09-13,54
2023-09-14,49
2023-09-15,54
2023-09-16,46
2023-09-17,53
2023-09-18,51
2023-09-19,49
2023-09-20,52
2023-09-21,54
2023-09-22,53
2023-09-23,65
2023-09-24,56
2023-09-25,58
2023-09-26,60
2023-09-27,58
2023-09-28,62
2023-09-29,62
2023-09-30,52
2023-10-01,59
2023-10-02,59
2023-10-03,56
2023-10-04,64
2023-10-05,53
2023-10-06,61
2023-10-07,60
2023-10-08,62
2023-10-09,60
2023-10-10,56
2023-10-11,53
2023-10-12,55
2023-10-13,57
2023-10-14,57
2023-10-15,61
2023-10-16,52
2023-10-17,50
2023-10-18,51
2023-10-19,61
2023-10-20,56
2023-10-21,55
2023-10-22,47
2023-10-23,53
2023-10-24,50
2023-10-25,50
2023-10-26,55
2023-10-27,53
2023-10-28,54
2023-10-29,54
2023-10-30,55
2023-10-31,58
2023-11-01,53
2023-11-02,61
2023-11-03,56
2023-11-04,62
2023-11-05,54
2023-11-06,62
2023-11-07,59
2023-11-08,64
2023-11-09,53
2023-11-10,58
2023-11-11,66
2023-11-12,63
2023-11-13,62
2023-11-14,65
2023-11-15,55
2023-11-16,59
2023-11-17,63
2023-11-18,59
2023-11-19,62
2023-11-20,62
2023-11-21,53
2023-11-22,56
2023-11-23,54
2023-11-24,56
2023-11-25,61
2023-11-26,60
2023-11-27,48
2023-11-28,66
2023-11-29,59
2023-11-30,47
2023-12-01,54
2023-12-02,55
2023-12-03,61
2023-12-04,51
2023-12-05,50
2023-12-06,49
2023-12-07,53
2023-12-08,52
2023-12-09,49
2023-12-10,63
2023-12-11,56
2023-12-12,62
2023-12-13,51
2023-12-14,63
2023-12-15,53
2023-12-16,59
2023-12-17,43
2023-12-18,58
2023-12-19,70
2023-12-20,51
2023-12-21,52
2023-12-22,69
2023-12-23,61
2023-12-24,67
2023-12-25,65
2023-12-26,52
2023-12-27,55
2023-12-28,65
2023-12-29,58
2023-12-30,63
2023-12-31,66
2024-01-01,58
2024-01-02,61
2024-01-03,60
2024-01-04,67
2024-01-05,59
2024-01-06,62
2024-01-07,56
2024-01-08,60
2024-01-09,46
2024-01-10,62
2024-01-11,55
2024-01-12,60
2024-01-13,52
2024-01-14,60
2024-01-15,66
2024-01-16,50
2024-01-17,54
2024-01-18,52
2024-01-19,51
2024-01-20,52
2024-01-21,51
2024-01-22,47
2024-01-23,55
2024-01-24,51
2024-01-25,61
2024-01-26,60
2024-01-27,54
2024-01-28,61
2024-01-29,63
2024-01-30,63
2024-01-31,56
2024-02-01,59
2024-02-02,59
2024-02-03,62
2024-02-04,55
2024-02-05,55
2024-02-06,62
2024-02-07,63
2024-02-08,58
2024-02-09,63
2024-02-10,61
2024-02-11,63
2024-02-12,58
2024-02-13,53
2024-02-14,57
2024-02-15,61
2024-02-16,65
2024-02-17,58
2024-02-18,55
2024-02-19,64
2024-02-20,56
2024-02-21,56
2024-02-22,63
2024-02-23,57
2024-02-24,65
2024-02-25,53
2024-02-26,43
2024-02-27,61
2024-02-28,61
2024-02-29,53
2024-03-01,57
2024-03-02,60
2024-03-03,59
2024-03-04,40
2024-03-05,46
2024-03-06,53
2024-03-07,54
2024-03-08,58
2024-03-09,60
2024-03-10,53
2024-03-11,56
2024-03-12,62
2024-03-13,55
2024-03-14,58
2024-03-15,56
2024-03-16,66
2024-03-17,54
2024-03-18,59
2024-03-19,57
2024-03-20,65
2024-03-21,67
2024-03-22,54
2024-03-23,71
2024-03-24,55
2024-03-25,62
2024-03-26,62
2024-03-27,65
2024-03-28,66
2024-03-29,56
2024-03-30,62
2024-03-31,65
2024-04-01,67
2024-04-02,62
2024-04-03,66
2024-04-04,57
2024-04-05,54
2024-04-06,58
2024-04-07,61
2024-04-08,47
2024-04-09,59
2024-04-10,52
2024-04-11,55
2024-04-12,54
2024-04-13,47
2024-04-14,52
2024-04-15,56
2024-04-16,46
2024-04-17,56
2024-04-18,46
2024-04-19,49
2024-04-20,59
2024-04-21,58
2024-04-22,60
2024-04-23,61
2024-04-24,52
2024-04-25,64
2024-04-26,64
2024-04-27,60
2024-04-28,58
2024-04-29,62
2024-04-30,65
2024-05-01,53
2024-05-02,59
2024-05-03,64
2024-05-04,54
2024-05-05,63
2024-05-06,61
2024-05-07,54
2024-05-08,71
2024-05-09,59
2024-05-10,60
2024-05-11,68
2024-05-12,66
2024-05-13,60
2024-05-14,58
2024-05-15,60
2024-05-16,71
2024-05-17,68
2024-05-18,62
2024-05-19,65
2024-05-20,58
2024-05-21,59
2024-05-22,62
2024-05-23,51
2024-05-24,55
2024-05-25,62
2024-05-26,60
2024-05-27,58
2024-05-28,54
2024-05-29,56
2024-05-30,55
2024-05-31,49
2024-06-01,55
2024-06-02,58
2024-06-03,55
2024-06-04,59
2024-06-05,61
2024-06-06,63
2024-06-07,62
2024-06-08,59
2024-06-09,69
2024-06-10,61
2024-06-11,60
2024-06-12,66
2024-06-13,73
2024-06-14,70
2024-06-15,66
2024-06-16,69
2024-06-17,71
2024-06-18,66
2024-06-19,67
2024-06-20,61
2024-06-21,70
2024-06-22,66
2024-06-23,67
2024-06-24,72
2024-06-25,65
2024-06-26,65
2024-06-27,63
2024-06-28,53
2024-06-29,66
2024-06-30,63
2024-07-01,64
2024-07-02,64
2024-07-03,73
2024-07-04,51
2024-07-05,64
2024-07-06,62
2024-07-07,61
2024-07-08,55
2024-07-09,48
2024-07-10,61
2024-07-11,56
2024-07-12,55
2024-07-13,68
2024-07-14,60
2024-07-15,64
2024-07-16,57
2024-07-17,56
2024-07-18,50
2024-07-19,56
2024-07-20,55
2024-07-21,54
2024-07-22,65
2024-07-23,66
2024-07-24,63
2024-07-25,69
2024-07-26,63
2024-07-27,65
2024-07-28,65
2024-07-29,59
2024-07-30,70
2024-07-31,56
2024-08-01,60
2024-08-02,64
2024-08-03,58
2024-08-04,66
2024-08-05,70
2024-08-06,65
2024-08-07,69
2024-08-08,75
2024-08-09,69
2024-08-10,60
2024-08-11,59
2024-08-12,64
2024-08-13,66
2024-08-14,60
2024-08-15,59
2024-08-16,63
2024-08-17,65
2024-08-18,54
2024-08-19,51
2024-08-20,63
2024-08-21,64
2024-08-22,61
2024-08-23,57
2024-08-24,48
2024-08-25,51
2024-08-26,58
2024-08-27,51
2024-08-28,52
2024-08-29,54
2024-08-30,70
2024-08-31,56
2024-09-01,64
2024-09-02,63
2024-09-03,61
2024-09-04,59
2024-09-05,65
2024-09-06,53
2024-09-07,64
2024-09-08,68
2024-09-09,66
2024-09-10,55
2024-09-11,60
2024-09-12,67
2024-09-13,71
2024-09-14,61
2024-09-15,76
2024-09-16,66
2024-09-17,63
2024-09-18,63
2024-09-19,68
2024-09-20,65
2024-09-21,66
2024-09-22,62
2024-09-23,68
2024-09-24,66
2024-09-25,69
2024-09-26,69
2024-09-27,73
2024-09-28,61
2024-09-29,59
2024-09-30,66
2024-10-01,65
2024-10-02,56
2024-10-03,67
2024-10-04,72
2024-10-05,53
2024-10-06,56
2024-10-07,59
2024-10-08,69
2024-10-09,62
2024-10-10,54
2024-10-11,52
2024-10-12,54
2024-10-13,59
2024-10-14,54
2024-10-15,54
2024-10-16,66
2024-10-17,64
2024-10-18,62
2024-10-19,57
2024-10-20,60
2024-10-21,55
2024-10-22,67
2024-10-23,59
2024-10-24,69
2024-10-25,66
2024-10-26,61
2024-10-27,64
2024-10-28,63
2024-10-29,67
2024-10-30,62
2024-10-31,63
2024-11-01,69
2024-11-02,69
2024-11-03,70
2024-11-04,69
2024-11-05,61
2024-11-06,72
2024-11-07,60
2024-11-08,59
2024-11-09,67
2024-11-10,70
2024-11-11,58
2024-11-12,66
2024-11-13,61
2024-11-14,65
2024-11-15,54
2024-11-16,63
2024-11-17,60
2024-11-18,65
2024-11-19,52
2024-11-20,63
2024-11-21,62
2024-11-22,49
2024-11-23,56
2024-11-24,57
2024-11-25,63
2024-11-26,55
2024-11-27,58
2024-11-28,70
2024-11-29,61
2024-11-30,62
2024-12-01,71
2024-12-02,59
2024-12-03,52
2024-12-04,63
2024-12-05,65
2024-12-06,58
2024-12-07,66
2024-12-08,74
2024-12-09,59
2024-12-10,67
2024-12-11,61
2024-12-12,68
2024-12-13,72
2024-12-14,65
2024-12-15,63
2024-12-16,68
2024-12-17,72
2024-12-18,74
2024-12-19,67
2024-12-20,72
2024-12-21,62
2024-12-22,68
2024-12-23,62
2024-12-24,59
2024-12-25,59
2024-12-26,63
2024-12-27,66
2024-12-28,66
2024-12-29,68
2024-12-30,55
